url,breed_primary,age,sex,size,coat,fixed,house_trained,shots_current,name,contact_city,contact_state,contact_zip
https://www.petfinder.com/dog/linus-45934848/nj/ringwood/bloomingdale-regional-animal-shelter-society-nj28/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Yellow Labrador Retriever,Young,Male,Medium,Short,TRUE,TRUE,TRUE,Linus,Ringwood,NJ,7456
https://www.petfinder.com/dog/lucas-45934828/nj/ringwood/bloomingdale-regional-animal-shelter-society-nj28/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Yellow Labrador Retriever,Young,Male,Medium,Short,TRUE,TRUE,TRUE,Lucas,Ringwood,NJ,7456
https://www.petfinder.com/dog/bongo-45934772/nj/ringwood/bloomingdale-regional-animal-shelter-society-nj28/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pomeranian,Adult,Male,Medium,Long,TRUE,TRUE,TRUE,Bongo,Ringwood,NJ,7456
https://www.petfinder.com/dog/olive-45934710/nj/ringwood/bloomingdale-regional-animal-shelter-society-nj28/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Yellow Labrador Retriever,Young,Female,Medium,Short,TRUE,TRUE,TRUE,Olive,Ringwood,NJ,7456
https://www.petfinder.com/dog/luna-45934311/nj/bloomfield/forgotten-tails-inc-nj901/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Belgian Shepherd / Malinois,Baby,Female,Large,Short,FALSE,FALSE,FALSE,Luna,Bloomfield,NJ,7003
https://www.petfinder.com/dog/latte-45930368/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dachshund,Young,Female,Small,Medium,TRUE,FALSE,TRUE,Latte,Ringwood,NJ,7456
https://www.petfinder.com/dog/trixie-45930249/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,German Shepherd Dog,Young,Male,Medium,Long,TRUE,FALSE,TRUE,Trixie,Ringwood,NJ,7456
https://www.petfinder.com/dog/raven-45930109/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Catahoula Leopard Dog,Baby,Female,Large,Short,TRUE,FALSE,TRUE,Raven,Ringwood,NJ,7456
https://www.petfinder.com/dog/wren-45930081/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Catahoula Leopard Dog,Baby,Male,Large,Short,TRUE,FALSE,TRUE,Wren,Ringwood,NJ,7456
https://www.petfinder.com/dog/sparrow-45930077/nj/ringwood/southern-paws-inc-nj817/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Catahoula Leopard Dog,Baby,Female,Large,Short,TRUE,FALSE,TRUE,Sparrow,Ringwood,NJ,7456
